dataset,size,epoch,lr,momentum,bacth,weightDecay,testError,testLoss,trainTime,testTime,stdTestError,stdTestLoss,stdTrainTime,stdTestTime
mnist,0.0625,1,0.1,0.0,64,0.0,0.902,2.3003560989379883,2.0593512058258057,1.0493834018707275,0,0,0,0
mnist,0.0625,1,0.1,0.0,64,0.01,0.902,2.3010608638763426,2.1179325580596924,1.0932142734527588,0,0,0,0
mnist,0.0625,1,0.1,0.0,64,0.001,0.902,2.300443514251709,1.9810268878936768,1.057596206665039,0,0,0,0
mnist,0.0625,1,0.1,0.0,64,0.0001,0.902,2.3003547298431397,2.067763090133667,1.066486120223999,0,0,0,0
mnist,0.0625,1,0.1,0.0,128,0.0,0.902,2.3021046215057375,1.8972079753875732,0.9532179832458496,0,0,0,0
mnist,0.0625,1,0.1,0.0,128,0.01,0.9017,2.3022347240448,1.6951789855957031,0.8918299674987793,0,0,0,0
mnist,0.0625,1,0.1,0.0,128,0.001,0.902,2.3021194087982177,1.865919828414917,0.9641668796539307,0,0,0,0
mnist,0.0625,1,0.1,0.0,128,0.0001,0.902,2.3021069343566896,1.8465805053710938,0.8904566764831543,0,0,0,0
mnist,0.0625,1,0.1,0.0,256,0.0,0.899,2.302971949005127,1.746117115020752,0.8913393020629883,0,0,0,0
mnist,0.0625,1,0.1,0.0,256,0.01,0.899,2.3029894725799562,1.8045306205749512,0.9298813343048096,0,0,0,0
mnist,0.0625,1,0.1,0.0,256,0.001,0.899,2.3029727863311766,1.8535408973693848,0.9339392185211182,0,0,0,0
mnist,0.0625,1,0.1,0.0,256,0.0001,0.899,2.302971298980713,1.8135607242584229,0.9716992378234863,0,0,0,0
mnist,0.0625,1,0.1,0.0,512,0.0,0.899,2.3035359638214112,2.112584114074707,1.1730084419250488,0,0,0,0
mnist,0.0625,1,0.1,0.0,512,0.01,0.899,2.3035320190429687,2.051220655441284,0.9622712135314941,0,0,0,0
mnist,0.0625,1,0.1,0.0,512,0.001,0.899,2.3035354560852053,2.268984794616699,1.1747691631317139,0,0,0,0
mnist,0.0625,1,0.1,0.0,512,0.0001,0.899,2.3035358474731447,2.081127882003784,1.0390231609344482,0,0,0,0
mnist,0.0625,1,0.1,0.9,64,0.0,0.9058,2.30474931640625,2.024116039276123,1.0769476890563965,0,0,0,0
mnist,0.0625,1,0.1,0.9,64,0.01,0.8865,2.3466212055206297,1.8821516036987305,1.0552911758422852,0,0,0,0
mnist,0.0625,1,0.1,0.9,64,0.001,0.899,2.3089847137451174,2.0380232334136963,1.0017125606536865,0,0,0,0
mnist,0.0625,1,0.1,0.9,64,0.0001,0.8865,2.30470436630249,1.9347844123840332,0.9948728084564209,0,0,0,0
mnist,0.0625,1,0.1,0.9,128,0.0,0.7895,2.2726204273223876,1.6499989032745361,0.8447892665863037,0,0,0,0
mnist,0.0625,1,0.1,0.9,128,0.01,0.8865,2.2980628688812255,1.793299674987793,0.9095852375030518,0,0,0,0
mnist,0.0625,1,0.1,0.9,128,0.001,0.8243,2.2786520156860353,1.6782314777374268,0.8655068874359131,0,0,0,0
mnist,0.0625,1,0.1,0.9,128,0.0001,0.7942,2.2734392581939695,1.7612659931182861,0.9358243942260742,0,0,0,0
mnist,0.0625,1,0.1,0.9,256,0.0,0.873,2.300071583938599,1.8617756366729736,0.986760139465332,0,0,0,0
mnist,0.0625,1,0.1,0.9,256,0.01,0.8865,2.300774264907837,1.8585901260375977,0.976618766784668,0,0,0,0
mnist,0.0625,1,0.1,0.9,256,0.001,0.8785,2.300145766067505,1.864140272140503,0.9772846698760986,0,0,0,0
mnist,0.0625,1,0.1,0.9,256,0.0001,0.8731,2.300077443695068,1.759322166442871,0.9308710098266602,0,0,0,0
mnist,0.0625,1,0.1,0.9,512,0.0,0.902,2.302157307815552,2.1257832050323486,1.083364725112915,0,0,0,0
mnist,0.0625,1,0.1,0.9,512,0.01,0.902,2.3022272521972655,2.219788074493408,1.1041598320007324,0,0,0,0
mnist,0.0625,1,0.1,0.9,512,0.001,0.902,2.302163652420044,2.0705299377441406,1.0354375839233398,0,0,0,0
mnist,0.0625,1,0.1,0.9,512,0.0001,0.902,2.3021578205108644,2.123814582824707,1.131589651107788,0,0,0,0
mnist,0.0625,1,0.1,0.95,64,0.0,0.899,2.316497342300415,1.840881586074829,1.0131916999816895,0,0,0,0
mnist,0.0625,1,0.1,0.95,64,0.01,0.4724,1.5600629737854004,2.0074923038482666,1.054337739944458,0,0,0,0
